Brand,Model,Form Factor,Cybenetics Rating,20W Efficiency,40W Efficiency,60W Efficiency,80W Efficiency,Report Link
be quiet!,Dark Power Pro 12 1500W,ATX12V,PLATINUM,"61,20%","79,91%","85,05%","87,81%",https://www.cybenetics.com/d/cybenetics_oYq.pdf
SilverStone,SFX Gold 700W (#1),SFX,GOLD,"61,10%","65,59%","82,15%","84,11%",https://www.cybenetics.com/d/cybenetics_lrJ.pdf
Cooler Master,V1300 Platinum,ATX12V,SILVER,"60,97%","74,59%","80,22%","83,24%",https://www.cybenetics.com/d/cybenetics_Pez.pdf
Seasonic,Prime TX-1600 ATX3.0,ATX12V,TITANIUM,"60,92%","75,41%","82,46%","86,76%",https://www.cybenetics.com/d/cybenetics_pQY.pdf
Super Frame,SF-G1000M,ATX12V,GOLD,"60,89%","67,05%","81,97%","84,99%",https://www.cybenetics.com/d/cybenetics_HnF.pdf
Asus,ROG-THOR-1200P (#1),ATX12V,PLATINUM,"60,86%","73,95%","79,21%","82,70%",https://www.cybenetics.com/d/cybenetics_FTU.pdf
Asus,ROG-THOR-1200P (#3),ATX12V,PLATINUM,"60,81%","73,60%","78,87%","82,18%",https://www.cybenetics.com/d/cybenetics_lMY.pdf
Corsair,CV650,ATX12V,BRONZE,"60,75%","73,25%","78,31%","81,27%",https://www.cybenetics.com/d/cybenetics_dNw.pdf
Cougar,GX-F750 (#2),ATX12V,GOLD,"60,68%","77,24%","82,40%","84,58%",https://www.cybenetics.com/d/cybenetics_Xtu.pdf
Gamemax,GM600 rev.2 (Sample #2),ATX12V,,"60,30%","71,80%","77,76%","79,70%",https://www.cybenetics.com/d/cybenetics_NwX.pdf
Cooler Master,V1000 Platinum,ATX12V,BRONZE,"60,23%","73,82%","79,50%","82,71%",https://www.cybenetics.com/d/cybenetics_B29.pdf
Enermax,Revolution Xt II 750W,ATX12V,GOLD,"60,07%","79,05%","83,86%","86,42%",https://www.cybenetics.com/d/cybenetics_0Wo.pdf
Asus,ROG-THOR-1200P (#4),ATX12V,PLATINUM,"59,90%","72,96%","77,91%","81,65%",https://www.cybenetics.com/d/cybenetics_DnA.pdf
Thermaltake,Toughpower GF3 1650W,ATX12V,PLATINUM,"59,83%","73,35%","81,85%","84,70%",https://www.cybenetics.com/d/cybenetics_vcB.pdf
Super Frame,SF-G850M,ATX12V,GOLD,"59,79%","79,04%","83,24%","85,56%",https://www.cybenetics.com/d/cybenetics_G8H.pdf
Thermaltake,Toughpower GF1 1000W,ATX12V,GOLD,"59,78%","73,99%","80,98%","83,81%",https://www.cybenetics.com/d/cybenetics_yY8.pdf
SilverStone,Hela 2050R Platinum,ATX12V,PLATINUM,"59,69%","82,11%","75,06%","78,52%",https://www.cybenetics.com/d/cybenetics_V55.pdf
Thermaltake,Toughpower Grand Gold 850W,ATX12V,GOLD,"59,48%","80,08%","84,72%","86,63%",https://www.cybenetics.com/d/cybenetics_A54.pdf
Thermaltake,Toughpower GF2 ARGB 650W,ATX12V,GOLD,"59,43%","81,64%","85,19%","87,08%",https://www.cybenetics.com/d/cybenetics_sx6.pdf
Kolink,Continuum 1200W,ATX12V,,"59,36%","74,87%","83,01%","86,98%",https://www.cybenetics.com/d/cybenetics_fDo.pdf
Micronics,Wizmax Platinum 1200W,ATX12V,TITANIUM,"59,34%","80,23%","84,75%","87,41%",https://www.cybenetics.com/d/cybenetics_mOA.pdf
SilverStone,Decathlon DA1650 (#2),ATX12V,PLATINUM,"59,34%","73,43%","81,77%","84,70%",https://www.cybenetics.com/d/cybenetics_hfF.pdf
Cooler Master,V1100 SFX Platinum,SFX,SILVER,"59,04%","73,04%","79,29%","82,75%",https://www.cybenetics.com/d/cybenetics_mBp.pdf
Thermaltake,Toughpower GF2 ARGB 850W,ATX12V,GOLD,"58,90%","80,09%","84,52%","86,30%",https://www.cybenetics.com/d/cybenetics_dKG.pdf
Kolink,Continuum 1500W,ATX12V,PLATINUM,"58,84%","73,01%","79,18%","81,72%",https://www.cybenetics.com/d/cybenetics_cEH.pdf
Asus,ROG-THOR-1200P (#2),ATX12V,PLATINUM,"58,62%","72,76%","78,28%","82,20%",https://www.cybenetics.com/d/cybenetics_JOB.pdf
Cooler Master,V750 SFX Gold (2021),SFX,PLATINUM,"58,38%","78,70%","83,25%","85,74%",https://www.cybenetics.com/d/cybenetics_VAT.pdf
Gamemax,GM600 rev.2 (Sample #1),ATX12V,,"58,37%","70,80%","76,22%","78,96%",https://www.cybenetics.com/d/cybenetics_28y.pdf
Cougar,GX-F750,ATX12V,GOLD,"57,32%","77,36%","82,64%","84,90%",https://www.cybenetics.com/d/cybenetics_09T.pdf
EVGA,SuperNOVA 750 GT,ATX12V,GOLD,"57,23%","79,64%","84,05%","86,55%",https://www.cybenetics.com/d/cybenetics_p1U.pdf
MSI,MPG A850G,ATX12V,GOLD,"56,83%","79,17%","83,36%","85,62%",https://www.cybenetics.com/d/cybenetics_h9f.pdf
Kolink,Continuum 1200W (#2),ATX12V,PLATINUM,"56,26%","73,46%","79,98%","86,42%",https://www.cybenetics.com/d/cybenetics_n95.pdf
Super Flower,Leadex Gold 1000W,ATX12V,,"55,37%","79,47%","80,75%","83,14%",https://www.cybenetics.com/d/cybenetics_jEN.pdf
MSI,MPG A750G,ATX12V,GOLD,"54,74%","80,24%","83,90%","86,29%",https://www.cybenetics.com/d/cybenetics_W7Q.pdf
Gamemax,GM800 rev.2,ATX12V,,"54,46%","67,68%","74,66%","77,84%",https://www.cybenetics.com/d/cybenetics_xAT.pdf
Thermaltake,Toughpower iRGB Plus 1200W Platinum,ATX12V,PLATINUM,"54,46%","70,98%","78,26%","82,19%",https://www.cybenetics.com/d/cybenetics_vyu.pdf
Cooler Master,V550 Gold SFX (2021),SFX,PLATINUM,"53,49%","80,36%","84,69%","86,78%",https://www.cybenetics.com/d/cybenetics_PHg.pdf
Fractal Design,ION+ 560P,ATX12V,PLATINUM,"53,33%","82,19%","86,54%","88,91%",https://www.cybenetics.com/d/cybenetics_qbV.pdf
Cooler Master,V850 SFX Gold (2021),SFX,PLATINUM,"53,24%","77,61%","82,47%","85,49%",https://www.cybenetics.com/d/cybenetics_osd.pdf
PowerSpec,Super Power 850W (#2),ATX12V,GOLD,"52,75%","78,61%","83,65%","85,77%",https://www.cybenetics.com/d/cybenetics_oeD.pdf
Cooler Master,V650 Gold SFX (2021),SFX,GOLD,"52,41%","75,89%","82,38%","84,72%",https://www.cybenetics.com/d/cybenetics_Ygl.pdf
PowerSpec,Super Power 850W,ATX12V,GOLD,"52,31%","77,99%","83,29%","85,41%",https://www.cybenetics.com/d/cybenetics_bKO.pdf
Micronics,Coolmax Focus II ETA Bronze 800W,ATX12V,BRONZE,"52,10%","49,65%","60,04%","85,51%",https://www.cybenetics.com/d/cybenetics_y78.pdf
Thermaltake,Toughpower GF A3 1200W,ATX12V,PLATINUM,"50,49%","77,55%","83,54%","86,50%",https://www.cybenetics.com/d/cybenetics_aqD.pdf
Fractal Design,ION+ 660P,ATX12V,PLATINUM,"50,17%","81,86%","86,11%","88,71%",https://www.cybenetics.com/d/cybenetics_80Z.pdf
Thermaltake,Toughpower GF2 ARGB 750W,ATX12V,GOLD,"50,02%","79,49%","84,21%","86,33%",https://www.cybenetics.com/d/cybenetics_Ieb.pdf
Fractal Design,ION+ 760P,ATX12V,PLATINUM,"49,21%","81,88%","86,36%","88,59%",https://www.cybenetics.com/d/cybenetics_v2Y.pdf
MSI,MPG A1000G,ATX12V,GOLD,"49,04%","76,28%","81,68%","85,46%",https://www.cybenetics.com/d/cybenetics_kOl.pdf
Enermax,MaxRevo 1800W,ATX12V,GOLD,"45,35%","61,93%","70,59%","75,43%",https://www.cybenetics.com/d/cybenetics_4gj.pdf
SilverStone,DA1000 Gold,ATX12V,GOLD,"44,57%","73,79%","79,95%","83,52%",https://www.cybenetics.com/d/cybenetics_phW.pdf
Micronics,Coolmax Focus II ETA Bronze 500W,ATX12V,BRONZE,"42,28%","69,49%","81,47%","83,81%",https://www.cybenetics.com/d/cybenetics_KoA.pdf
Cooler Master,M2000 Platinum,ATX12V,PLATINUM,"40,44%","71,31%","56,14%","70,44%",https://www.cybenetics.com/d/cybenetics_tOt.pdf
Micronics,Coolmax Focus II ETA Bronze 700W,ATX12V,BRONZE,"32,27%","65,45%","83,33%","85,53%",https://www.cybenetics.com/d/cybenetics_bUI.pdf
